Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)
PARP1	142	ENST00000366794	NM_001618.3	ENST00000366794	NM_001618.3	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
PHOX2B	8929	ENST00000226382	NM_003924.3	ENST00000226382	NM_003924.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
PIK3C2G	5288	ENST00000266497	NM_004570.4	ENST00000433979	NM_004570.4	4	Yes	No	No	Yes	Yes	Yes	No	No	No
PIK3CG	5294	ENST00000359195	NM_002649.2	ENST00000359195	NM_002649.2	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No
PIK3R2	5296	ENST00000222254	NM_005027.3	ENST00000222254	NM_005027.3	4	Yes	No	Yes	Yes	Yes	No	Yes	No	No
PLCG2	5336	ENST00000359376	NM_002661.3	ENST00000564138	NM_002661.3	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No
PPM1D	8493	ENST00000305921	NM_003620.3	ENST00000305921	NM_003620.3	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes
PPP6C	5537	ENST00000373547	NM_002721.4	ENST00000373547	NM_002721.4	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
PREX2	80243	ENST00000288368	NM_024870.2	ENST00000288368	NM_024870.2	4	Yes	No	No	Yes	Yes	No	No	No	Yes
PRKCI	5584	ENST00000295797	NM_002740.5	ENST00000295797	NM_002740.5	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No
PRKN	5071	ENST00000366898	NM_004562.2	ENST00000366898	NM_004562.2	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
PTPRT	11122	ENST00000373198	NM_133170.3	ENST00000373198	NM_133170.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
RAD50	10111	ENST00000265335	NM_005732.3	ENST00000378823	NM_005732.3	4	Yes	No	Yes	Yes	Yes	No	Yes	No	No
RAD51C	5889	ENST00000337432	NM_058216.2	ENST00000337432	NM_058216.2	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
RAD51D	5892	ENST00000345365	NM_002878.3	ENST00000345365	NM_002878.3	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
RAD52	5893	ENST00000358495	NM_134424.2	ENST00000358495	NM_134424.2	4	Yes	No	No	Yes	Yes	Yes	No	No	No
RAD54L	8438	ENST00000371975	NM_001142548.1	ENST00000371975	NM_001142548.1	4	Yes	No	No	Yes	Yes	Yes	No	No	No
RECQL4	9401	ENST00000428558	NM_004260.3	ENST00000617875	NM_004260.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
RUNX1T1	862	ENST00000265814	NM_001198626.1	ENST00000265814	NM_001198626.1	4	Yes	Yes	No	No	Yes	No	Yes	No	Yes
SDHAF2	54949	ENST00000301761	NM_017841.2	ENST00000301761	NM_017841.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
SGK1	6446	ENST00000237305	NM_005627.3	ENST00000237305	NM_005627.3	4	Yes	Yes	No	No	Yes	Yes	Yes	No	No
SH2B3	10019	ENST00000341259	NM_005475.2	ENST00000341259	NM_005475.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
SMAD3	4088	ENST00000327367	NM_005902.3	ENST00000327367	NM_005902.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
SMARCD1	6602	ENST00000394963	NM_003076.4	ENST00000394963	NM_003076.4	4	Yes	No	No	Yes	Yes	No	No	No	Yes
STAT5A	6776	ENST00000345506	NM_003152.3	ENST00000345506	NM_003152.3	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No
STAT6	6778	ENST00000300134	NM_001178078.1	ENST00000300134	NM_001178078.1	4	Yes	Yes	No	No	Yes	No	Yes	No	Yes
TBL1XR1	79718	ENST00000430069	NM_024665.4	ENST00000430069	NM_024665.4	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes
TCF7L2	6934	ENST00000543371	NM_001146274.1	ENST00000627217	NM_001146274.1	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
TEK	7010	ENST00000380036	NM_000459.3	ENST00000380036	NM_000459.3	4	Yes	No	No	Yes	Yes	Yes	No	No	No
TMEM127	55654	ENST00000258439	NM_001193304.2	ENST00000258439	NM_001193304.2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
TRAF2	7186	ENST00000247668	NM_021138.3	ENST00000247668	NM_021138.3	4	Yes	No	No	Yes	Yes	No	Yes	No	No
VEGFA	7422	ENST00000523873	NM_001171623.1	ENST00000523873	NM_001171623.1	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No
WWTR1	25937	ENST00000360632	NM_001168280.1	ENST00000360632	NM_001168280.1	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes
XRCC2	7516	ENST00000359321	NM_005431.1	ENST00000359321	NM_005431.1	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No
ZFHX3	463	ENST00000268489	NM_006885.3	ENST00000268489	NM_006885.3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes
ABL2	27	ENST00000502732	NM_007314.3	ENST00000502732	NM_007314.3	3	Yes	Yes	No	No	No	No	Yes	No	Yes
ABRAXAS1	84142	ENST00000321945	NM_139076.2	ENST00000321945	NM_139076.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No
AGO2	27161	ENST00000220592	NM_012154.3	ENST00000220592	NM_012154.3	3	Yes	No	No	Yes	Yes	No	No	No	No
ANKRD11	29123	ENST00000301030	NM_013275.5	ENST00000301030	NM_013275.5	3	Yes	No	Yes	Yes	Yes	No	No	No	No
ARID5B	84159	ENST00000279873	NM_032199.2	ENST00000279873	NM_032199.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No
ASXL2	55252	ENST00000435504	NM_018263.4	ENST00000435504	NM_018263.4	3	Yes	No	Yes	Yes	Yes	No	No	No	No
ATF1	466	ENST00000262053	NM_005171.4	ENST00000262053	NM_005171.4	3	Yes	Yes	No	No	No	No	Yes	No	Yes
BABAM1	29086	ENST00000359435	NM_001033549.1	ENST00000359435	NM_001033549.1	3	Yes	No	No	Yes	Yes	No	No	No	No
BBC3	27113	ENST00000449228	NM_001127240.2	ENST00000449228	NM_001127240.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No
BCL2L11	10018	ENST00000393256	NM_138621.4	ENST00000393256	NM_138621.4	3	Yes	No	Yes	Yes	Yes	No	No	No	No
BCL9	607	ENST00000234739	NM_004326.3	ENST00000234739	NM_004326.3	3	Yes	Yes	No	No	No	No	Yes	No	Yes
CARM1	10498	ENST00000327064	NM_199141.1	ENST00000327064	NM_199141.1	3	Yes	No	No	Yes	Yes	No	No	No	No
CCNQ	92002	ENST00000576892	NM_152274.4	ENST00000576892	NM_152274.4	3	Yes	No	Yes	Yes	Yes	No	No	No	No
CD276	80381	ENST00000318443	NM_001024736.1	ENST00000318443	NM_001024736.1	3	Yes	Yes	No	Yes	Yes	No	No	No	No
CD58	965	ENST00000369489	NM_001779.2	ENST00000369489	NM_001779.2	3	Yes	No	Yes	No	Yes	No	Yes	No	No
CDC42	998	ENST00000344548	NM_001791.3	ENST00000344548	NM_001791.3	3	Yes	Yes	No	Yes	Yes	No	No	No	No
CENPA	1058	ENST00000335756	NM_001809.3	ENST00000335756	NM_001809.3	3	Yes	No	No	Yes	Yes	No	No	No	No
COP1	64326	ENST00000367669	NM_022457.5	ENST00000367669	NM_022457.5	3	Yes	Yes	No	Yes	Yes	No	No	No	No
CSDE1	7812	ENST00000438362	NM_001242891.1	ENST00000438362	NM_001242891.1	3	Yes	No	No	Yes	Yes	No	No	No	No
CTLA4	1493	ENST00000302823	NM_005214.4	ENST00000648405	NM_005214.4	3	Yes	Yes	No	Yes	Yes	No	No	No	No
CYSLTR2	57105	ENST00000282018	NM_020377.2	ENST00000282018	NM_020377.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No
DCUN1D1	54165	ENST00000292782	NM_020640.2	ENST00000292782	NM_020640.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No
DDIT3	1649	ENST00000346473	NM_001195057.1	ENST00000346473	NM_001195057.1	3	Yes	No	No	No	No	No	Yes	No	Yes
DEK	7913	ENST00000397239	NM_003472.3	ENST00000652689	NM_003472.3	3	Yes	Yes	No	No	No	No	Yes	No	Yes
DNMT3B	1789	ENST00000328111	NM_006892.3	ENST00000328111	NM_006892.3	3	Yes	No	Yes	Yes	Yes	No	No	No	No
DTX1	1840	ENST00000257600	NM_004416.2	ENST00000257600	NM_004416.2	3	Yes	No	Yes	No	Yes	No	Yes	No	No
DUSP22	56940	ENST00000344450	NM_020185.4	ENST00000344450	NM_020185.4	3	Yes	No	Yes	No	Yes	No	Yes	No	No
DUSP4	1846	ENST00000240100	NM_001394.6	ENST00000240100	NM_001394.6	3	Yes	No	Yes	Yes	Yes	No	No	No	No
E2F3	1871	ENST00000346618	NM_001949.4	ENST00000346618	NM_001949.4	3	Yes	Yes	No	Yes	Yes	No	No	No	No
EGFL7	51162	ENST00000308874	NM_201446.2	ENST00000308874	NM_201446.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No
EIF1AX	1964	ENST00000379607	NM_001412.3	ENST00000379607	NM_001412.3	3	Yes	No	No	Yes	Yes	No	No	No	No
EIF4E	1977	ENST00000280892	NM_001130678.1	ENST00000280892	NM_001130678.1	3	Yes	Yes	No	Yes	Yes	No	No	No	No
ELF3	1999	ENST00000359651	NM_004433.4	ENST00000359651	NM_004433.4	3	Yes	Yes	Yes	Yes	Yes	No	No	No	No
ELOC	6921	ENST00000284811	NM_005648.3	ENST00000284811	NM_005648.3	3	Yes	No	No	Yes	Yes	No	No	No	No
EPCAM	4072	ENST00000263735	NM_002354.2	ENST00000263735	NM_002354.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No
ERF	2077	ENST00000222329	NM_006494.2	ENST00000222329	NM_006494.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No
ETNK1	55500	ENST00000266517	NM_018638.4	ENST00000671733	NM_018638.4	3	Yes	No	No	No	Yes	No	No	No	Yes
EZH1	2145	ENST00000428826	NM_001991.3	ENST00000428826	NM_001991.3	3	Yes	Yes	No	Yes	Yes	No	No	No	No
FANCG	2189					3	No	No	No	No	No	Yes	Yes	No	Yes
FANCL	55120	ENST00000233741	NM_018062.3	ENST00000233741	NM_018062.3	3	Yes	No	Yes	No	No	Yes	Yes	No	No
FEV	54738	ENST00000295727	NM_017521.2	ENST00000295727	NM_017521.2	3	Yes	No	No	No	No	No	Yes	No	Yes
FLI1	2313	ENST00000527786	NM_002017.4	ENST00000527786	NM_002017.4	3	Yes	Yes	No	No	No	No	Yes	No	Yes
FYN	2534	ENST00000368678	NM_153047.3	ENST00000368678	NM_153047.3	3	Yes	Yes	No	Yes	Yes	No	No	No	No
GNA12	2768	ENST00000275364	NM_007353.2	ENST00000275364	NM_007353.2	3	Yes	Yes	No	No	Yes	No	Yes	No	No
GNB1	2782	ENST00000378609	NM_001282539.1	ENST00000378609	NM_001282539.1	3	Yes	Yes	No	Yes	Yes	No	No	No	No
GPS2	2874	ENST00000380728	NM_004489.4	ENST00000380728	NM_004489.4	3	Yes	No	Yes	Yes	Yes	No	No	No	No
GREM1	26585	ENST00000300177	NM_013372.6	ENST00000300177	NM_013372.6	3	Yes	Yes	No	Yes	Yes	No	No	No	No
H1-3	3007	ENST00000244534	NM_005320.2	ENST00000244534	NM_005320.2	3	Yes	No	Yes	No	Yes	No	Yes	No	No
H1-4	3008	ENST00000304218	NM_005321.2	ENST00000304218	NM_005321.2	3	Yes	Yes	No	No	Yes	No	Yes	No	No
H2AC11	8969	ENST00000358739	NM_003509.2	ENST00000358739	NM_003509.2	3	Yes	No	No	No	Yes	No	Yes	No	No
H2AC16	8332	ENST00000357320	NM_003511	ENST00000613174	NM_003511	3	Yes	No	No	No	Yes	No	Yes	No	No
H2AC17	8336	ENST00000359611	NM_003514	ENST00000359611	NM_003514	3	Yes	Yes	No	No	Yes	No	Yes	No	No
H2AC6	8334	ENST00000314088	NM_003512.3	ENST00000314088	NM_003512.3	3	Yes	No	No	No	Yes	No	Yes	No	No
H2BC11	8970	ENST00000339812	NM_021058.3	ENST00000339812	NM_021058.3	3	Yes	No	No	No	Yes	No	Yes	No	No
H2BC12	85236	ENST00000356950	NM_080593.2	ENST00000356950	NM_080593.2	3	Yes	No	No	No	Yes	No	Yes	No	No
H2BC17	8348	ENST00000616182	NM_003527.4	ENST00000616182	NM_003527.4	3	Yes	No	No	No	Yes	No	Yes	No	No
H2BC4	8347	ENST00000314332	NM_003518.3	ENST00000314332	NM_003518.3	3	Yes	No	No	No	Yes	No	Yes	No	No
H2BC5	3017	ENST00000289316	NM_021063.3	ENST00000289316	NM_021063.3	3	Yes	No	No	Yes	Yes	No	No	No	No
H3-4	8290	ENST00000366696	NM_003493.2	ENST00000366696	NM_003493.2	3	Yes	No	No	Yes	Yes	No	No	No	No
H3-5	440093	ENST00000340398	NM_001013699.2	ENST00000340398	NM_001013699.2	3	Yes	No	No	Yes	Yes	No	No	No	No
H3C1	8350	ENST00000357647	NM_003529.2	ENST00000356476	NM_003529.2	3	Yes	No	No	Yes	Yes	No	No	No	No
H3C10	8357	ENST00000369163	NM_003536.2	ENST00000369163	NM_003536.2	3	Yes	No	No	Yes	Yes	No	No	No	No
H3C11	8354	ENST00000328488	NM_003533.2	ENST00000616365	NM_003533.2	3	Yes	No	No	Yes	Yes	No	No	No	No
H3C12	8356	ENST00000359303	NM_003535.2	ENST00000359303	NM_003535.2	3	Yes	No	No	Yes	Yes	No	No	No	No
H3C13	653604	ENST00000331491	NM_001123375.2	ENST00000331491	NM_001123375.2	3	Yes	No	No	Yes	Yes	No	No	No	No
H3C14	126961	ENST00000369158	NM_021059.2	ENST00000369158	NM_021059.2	3	Yes	No	No	Yes	Yes	No	No	No	No
H3C3	8352	ENST00000540144	NM_003531.2	ENST00000612966	NM_003531.2	3	Yes	No	No	Yes	Yes	No	No	No	No
H3C4	8351	ENST00000356476	NM_003530.4	ENST00000356476	NM_003530.4	3	Yes	No	No	Yes	Yes	No	No	No	No
H3C6	8353	ENST00000360408	NM_003532.2	ENST00000634733	NM_003532.2	3	Yes	No	No	Yes	Yes	No	No	No	No
H3C7	8968	ENST00000446824	NM_021018.2	ENST00000618052	NM_021018.2	3	Yes	No	No	Yes	Yes	No	No	No	No
H3C8	8355	ENST00000305910	NM_003534.2	ENST00000614378	NM_003534.2	3	Yes	No	No	Yes	Yes	No	No	No	No
HDAC4	9759	ENST00000345617	NM_006037.3	ENST00000345617	NM_006037.3	3	Yes	Yes	Yes	No	Yes	No	Yes	No	No
HDAC7	51564	ENST00000427332	XM_011538481.1	ENST00000427332	XM_011538481.1	3	Yes	Yes	No	No	Yes	No	Yes	No	No
HIF1A	3091	ENST00000337138	NM_001530.3	ENST00000337138	NM_001530.3	3	Yes	Yes	No	No	Yes	No	No	No	Yes
HLA-B	3106	ENST00000412585	NM_005514.6	ENST00000412585	NM_005514.6	3	Yes	No	Yes	Yes	Yes	No	No	No	No
HOXB13	10481	ENST00000290295	NM_006361.5	ENST00000290295	NM_006361.5	3	Yes	Yes	Yes	Yes	Yes	No	No	No	No
ICOSLG	23308	ENST00000407780	NM_015259.4	ENST00000407780	NM_015259.4	3	Yes	Yes	No	Yes	Yes	No	No	No	No
IFNGR1	3459	ENST00000367739	NM_000416.2	ENST00000367739	NM_000416.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No
IGF1	3479	ENST00000307046	NM_001111285.1	ENST00000307046	NM_001111285.1	3	Yes	Yes	No	Yes	Yes	No	No	No	No
IGF2	3481	ENST00000434045	NM_001127598.1	ENST00000434045	NM_001127598.1	3	Yes	Yes	No	Yes	Yes	No	No	No	No
IKZF3	22806	ENST00000346872	NM_012481.4	ENST00000346872	NM_012481.4	3	Yes	Yes	Yes	No	Yes	No	Yes	No	No
IL10	3586	ENST00000423557	NM_000572.2	ENST00000423557	NM_000572.2	3	Yes	No	No	Yes	Yes	No	No	No	No
INHA	3623	ENST00000243786	NM_002191.3	ENST00000243786	NM_002191.3	3	Yes	No	Yes	Yes	Yes	No	No	No	No
INPP4A	3631	ENST00000074304	NM_001134224.1	ENST00000074304	NM_001134224.1	3	Yes	No	No	Yes	Yes	No	No	No	No
INPPL1	3636	ENST00000298229	NM_001567.3	ENST00000298229	NM_001567.3	3	Yes	No	Yes	Yes	Yes	No	No	No	No
INSR	3643	ENST00000302850	NM_000208.2	ENST00000302850	NM_000208.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No
IRF1	3659	ENST00000245414	NM_002198.2	ENST00000245414	NM_002198.2	3	Yes	No	Yes	No	Yes	No	Yes	No	No
IRF8	3394	ENST00000268638	NM_002163.2	ENST00000268638	NM_002163.2	3	Yes	No	Yes	No	Yes	No	Yes	No	No
IRS1	3667	ENST00000305123	NM_005544.2	ENST00000305123	NM_005544.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No
JARID2	3720	ENST00000341776	NM_004973.3	ENST00000341776	NM_004973.3	3	Yes	Yes	Yes	No	Yes	No	Yes	No	No
KAT6A	7994	ENST00000265713	NM_006766.4	ENST00000265713	NM_006766.4	3	Yes	No	No	No	No	No	Yes	No	Yes
KMT2B	9757	ENST00000222270	NM_014727.1	ENST00000420124	NM_014727.1	3	Yes	No	Yes	Yes	Yes	No	No	No	No
KMT5A	387893	ENST00000330479	NM_020382.3	ENST00000402868	NM_020382.3	3	Yes	No	No	Yes	Yes	No	No	No	No
KNSTRN	90417	ENST00000249776	NM_033286.3	ENST00000249776	NM_033286.3	3	Yes	No	No	Yes	Yes	No	No	No	No
LCK	3932	ENST00000336890	NM_001042771.2	ENST00000336890	NM_001042771.2	3	Yes	Yes	No	No	Yes	No	No	No	Yes
LMO2	4005	ENST00000395833	NM_001142315.1	ENST00000395833	NM_001142315.1	3	Yes	Yes	No	No	No	No	Yes	No	Yes
LZTR1	8216	ENST00000215739	NM_006767.3	ENST00000646124	NM_006767.3	3	Yes	No	Yes	Yes	No	No	No	No	Yes
MAFB	9935	ENST00000373313	NM_005461.4	ENST00000373313	NM_005461.4	3	Yes	Yes	No	No	No	No	Yes	No	Yes
MAPK3	5595	ENST00000263025	NM_002746.2	ENST00000263025	NM_002746.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No
MAPKAP1	79109	ENST00000265960	NM_001006617.1	ENST00000265960	NM_001006617.1	3	Yes	No	No	Yes	Yes	No	No	No	No
MDC1	9656	ENST00000376406	NM_014641.2	ENST00000376406	NM_014641.2	3	Yes	No	No	Yes	Yes	No	No	No	No
MECOM	2122	ENST00000468789	NM_001105078.3	ENST00000468789	NM_001105078.3	3	Yes	Yes	No	No	No	No	Yes	No	Yes
MGA	23269	ENST00000219905	NM_001164273.1	ENST00000219905	NM_001164273.1	3	Yes	No	Yes	Yes	Yes	No	No	No	No
MLLT10	8028	ENST00000307729	NM_001195626.1	ENST00000307729	NM_001195626.1	3	Yes	Yes	No	No	No	No	Yes	No	Yes
MSI1	4440	ENST00000257552	NM_002442.3	ENST00000257552	NM_002442.3	3	Yes	Yes	No	Yes	Yes	No	No	No	No
MST1	4485	ENST00000449682	NM_020998.3	ENST00000449682	NM_020998.3	3	Yes	No	Yes	Yes	Yes	No	No	No	No
MTAP	4507	ENST00000380172	NM_002451.3	ENST00000644715	NM_002451.3	3	Yes	No	Yes	Yes	No	Yes	No	No	No
MYB	4602					3	No	No	No	No	No	Yes	Yes	No	Yes
NCOA3	8202	ENST00000371998	NM_181659.2	ENST00000371998	NM_181659.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No
NCSTN	23385	ENST00000294785	NM_015331.2	ENST00000294785	NM_015331.2	3	Yes	Yes	No	No	Yes	No	Yes	No	No
NEGR1	257194	ENST00000357731	NM_173808.2	ENST00000357731	NM_173808.2	3	Yes	No	No	Yes	Yes	No	No	No	No
NKX3-1	4824	ENST00000380871	NM_006167.3	ENST00000380871	NM_006167.3	3	Yes	No	Yes	Yes	Yes	No	No	No	No
NOTCH4	4855	ENST00000375023	NM_004557.3	ENST00000375023	NM_004557.3	3	Yes	Yes	Yes	Yes	Yes	No	No	No	No
NR4A3	8013	ENST00000395097	NM_006981.3	ENST00000395097	NM_006981.3	3	Yes	Yes	No	No	No	No	Yes	No	Yes
NTHL1	4913	ENST00000219066	NM_002528.5	ENST00000219066	NM_002528.5	3	Yes	No	Yes	Yes	Yes	No	No	No	No
NUF2	83540	ENST00000271452	NM_031423.3	ENST00000271452	NM_031423.3	3	Yes	Yes	No	Yes	Yes	No	No	No	No
NUP98	4928	ENST00000359171	XM_005252950.1	ENST00000355260	XM_005252950.1	3	Yes	Yes	No	No	No	No	Yes	No	Yes
NUTM1	256646	ENST00000333756	XM_011521429.1	ENST00000333756	XM_011521429.1	3	Yes	No	No	No	No	Yes	No	No	Yes
PAK1	5058	ENST00000356341	NM_002576.4	ENST00000356341	NM_002576.4	3	Yes	Yes	No	Yes	Yes	No	No	No	No
PAK5	57144	ENST00000353224	NM_177990.2	ENST00000353224	NM_177990.2	3	Yes	Yes	No	Yes	Yes	No	No	No	No
PCBP1	5093	ENST00000303577	NM_006196.3	ENST00000303577	NM_006196.3	3	Yes	No	No	No	Yes	No	Yes	No	No
PDGFB	5155	ENST00000331163	NM_002608.2	ENST00000331163	NM_002608.2	3	Yes	Yes	No	No	No	No	Yes	No	Yes
PDPK1	5170	ENST00000342085	NM_002613.4	ENST00000342085	NM_002613.4	3	Yes	No	No	Yes	Yes	No	No	No	No
PGR	5241	ENST00000325455	NM_000926.4	ENST00000325455	NM_000926.4	3	Yes	Yes	No	Yes	Yes	No	No	No	No
PIK3C3	5289	ENST00000262039	NM_002647.2	ENST00000262039	NM_002647.2	3	Yes	No	No	Yes	Yes	No	No	No	No
PIK3CD	5293	ENST00000377346	NM_005026.3	ENST00000377346	NM_005026.3	3	Yes	Yes	No	Yes	Yes	No	No	No	No
PIK3R3	8503	ENST00000262741	NM_003629.3	ENST00000262741	NM_003629.3	3	Yes	No	Yes	Yes	Yes	No	No	No	No
PLCG1	5335	ENST00000373271	NM_182811.1	ENST00000373271	NM_182811.1	3	Yes	Yes	No	No	Yes	No	No	No	Yes
PLK2	10769	ENST00000274289	NM_006622.3	ENST00000274289	NM_006622.3	3	Yes	No	No	Yes	Yes	No	No	No	No
PMAIP1	5366	ENST00000316660	NM_021127.2	ENST00000316660	NM_021127.2	3	Yes	No	Yes	Yes	Yes	No	No	No	No
PMS1	5378	ENST00000441310	NM_000534.4	ENST00000441310	NM_000534.4	3	Yes	No	Yes	Yes	Yes	No	No	No	No
PNRC1	10957	ENST00000336032	NM_006813.2	ENST00000336032	NM_006813.2	3	Yes	No	No	Yes	Yes	No	No	No	No
PPP4R2	151987	ENST00000356692	NM_174907.2	ENST00000356692	NM_174907.2	3	Yes	No	No	Yes	Yes	No	No	No	No
PRDM14	63978	ENST00000276594	NM_024504.3	ENST00000276594	NM_024504.3	3	Yes	No	No	Yes	Yes	No	No	No	No
PRKD1	5587	ENST00000331968	NM_002742.2	ENST00000331968	NM_002742.2	3	Yes	No	No	Yes	Yes	No	No	No	No
PTP4A1	7803	ENST00000370651	NM_003463.4	ENST00000626021	NM_003463.4	3	Yes	No	No	Yes	Yes	No	No	No	No
PTPN2	5771	ENST00000309660	NM_002828.3	ENST00000309660	NM_002828.3	3	Yes	No	Yes	No	Yes	No	Yes	No	No
PTPRD	5789	ENST00000356435	NM_002839.3	ENST00000356435	NM_002839.3	3	Yes	No	Yes	Yes	Yes	No	No	No	No
